,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
345,2021-01-04 14:15:00,1023.23,71.624,12.872,7.869,68.958,6.094
346,2021-01-04 14:30:00,1023.241,71.933,12.818,7.88,66.928,5.947
347,2021-01-04 14:45:00,1023.278,72.242,12.753,7.881,64.03,5.76
348,2021-01-04 15:00:00,1023.331,72.48,12.687,7.866,60.078,5.549
349,2021-01-04 15:15:00,1023.394,72.594,12.624,7.828,55.02,5.343
350,2021-01-04 15:30:00,1023.452,72.61,12.557,7.768,49.587,5.194
351,2021-01-04 15:45:00,1023.489,72.574,12.479,7.685,44.96,5.134
352,2021-01-04 16:00:00,1023.489,72.532,12.381,7.582,42.421,5.161
353,2021-01-04 16:15:00,1023.446,72.529,12.258,7.463,42.721,5.264
354,2021-01-04 16:30:00,1023.382,72.608,12.117,7.344,44.888,5.422
355,2021-01-04 16:45:00,1023.331,72.81,11.972,7.245,47.597,5.611
356,2021-01-04 17:00:00,1023.324,73.176,11.834,7.185,49.705,5.794
357,2021-01-04 17:15:00,1023.381,73.728,11.713,7.177,50.494,5.93
358,2021-01-04 17:30:00,1023.476,74.414,11.607,7.21,50.215,6.014
359,2021-01-04 17:45:00,1023.572,75.166,11.511,7.264,49.279,6.058
360,2021-01-04 18:00:00,1023.63,75.913,11.422,7.323,48.059,6.074
361,2021-01-04 18:15:00,1023.625,76.59,11.336,7.371,46.838,6.074
362,2021-01-04 18:30:00,1023.584,77.156,11.261,7.405,45.597,6.063
363,2021-01-04 18:45:00,1023.543,77.576,11.202,7.428,44.244,6.047
364,2021-01-04 19:00:00,1023.541,77.813,11.169,7.44,42.689,6.034
365,2021-01-04 19:15:00,1023.606,77.846,11.165,7.443,40.884,6.031
366,2021-01-04 19:30:00,1023.719,77.7,11.184,7.434,38.926,6.042
367,2021-01-04 19:45:00,1023.851,77.415,11.216,7.411,36.944,6.066
368,2021-01-04 20:00:00,1023.975,77.032,11.251,7.372,35.069,6.103
369,2021-01-04 20:15:00,1024.068,76.596,11.281,7.317,33.41,6.149
370,2021-01-04 20:30:00,1024.142,76.186,11.299,7.256,31.999,6.186
371,2021-01-04 20:45:00,1024.213,75.884,11.301,7.201,30.841,6.199
372,2021-01-04 21:00:00,1024.3,75.775,11.283,7.162,29.93,6.17
373,2021-01-04 21:15:00,1024.414,75.918,11.243,7.151,29.253,6.088
374,2021-01-04 21:30:00,1024.544,76.276,11.185,7.164,28.756,5.973
375,2021-01-04 21:45:00,1024.671,76.785,11.119,7.197,28.39,5.852
376,2021-01-04 22:00:00,1024.779,77.383,11.052,7.245,28.108,5.751
377,2021-01-04 22:15:00,1024.852,78.018,10.989,7.304,27.895,5.691
378,2021-01-04 22:30:00,1024.887,78.685,10.933,7.374,27.852,5.673
379,2021-01-04 22:45:00,1024.883,79.388,10.881,7.454,28.104,5.691
380,2021-01-04 23:00:00,1024.84,80.133,10.833,7.544,28.766,5.74
381,2021-01-04 23:15:00,1024.759,80.914,10.788,7.642,29.881,5.815
382,2021-01-04 23:30:00,1024.651,81.674,10.75,7.741,31.256,5.907
383,2021-01-04 23:45:00,1024.529,82.346,10.722,7.834,32.657,6.002
384,2021-01-05 00:00:00,1024.705,73.12,10.422,5.812,36.883,5.756
385,2021-01-05 00:15:00,1024.664,73.58,10.307,5.792,33.607,5.713
