,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
359,2021-01-04 17:45:00,885.418,64.932,-15.45,-20.555,280.973,10.158
360,2021-01-04 18:00:00,885.525,64.968,-15.716,-20.803,281.572,9.711
361,2021-01-04 18:15:00,885.64,64.808,-15.96,-21.064,282.147,9.204
362,2021-01-04 18:30:00,885.755,64.493,-16.171,-21.321,282.734,8.65
363,2021-01-04 18:45:00,885.861,64.077,-16.341,-21.558,283.388,8.069
364,2021-01-04 19:00:00,885.95,63.613,-16.461,-21.756,284.179,7.48
365,2021-01-04 19:15:00,886.015,63.162,-16.532,-21.904,285.178,6.895
366,2021-01-04 19:30:00,886.063,62.804,-16.585,-22.019,286.44,6.302
367,2021-01-04 19:45:00,886.102,62.625,-16.66,-22.123,288.043,5.681
368,2021-01-04 20:00:00,886.139,62.714,-16.798,-22.239,290.138,5.015
369,2021-01-04 20:15:00,886.184,63.103,-17.021,-22.383,292.954,4.295
370,2021-01-04 20:30:00,886.235,63.617,-17.286,-22.543,296.573,3.555
371,2021-01-04 20:45:00,886.294,64.028,-17.531,-22.703,300.928,2.829
372,2021-01-04 21:00:00,886.359,64.109,-17.694,-22.844,305.6,2.147
373,2021-01-04 21:15:00,886.429,63.7,-17.736,-22.958,309.586,1.522
374,2021-01-04 21:30:00,886.501,62.928,-17.704,-23.066,312.48,0.951
375,2021-01-04 21:45:00,886.569,61.986,-17.665,-23.199,314.11,0.44
376,2021-01-04 22:00:00,886.63,61.07,-17.689,-23.388,233.13,0.0
377,2021-01-04 22:15:00,886.68,60.341,-17.823,-23.649,133.364,0.359
378,2021-01-04 22:30:00,886.72,59.819,-18.035,-23.947,132.591,0.647
379,2021-01-04 22:45:00,886.752,59.491,-18.272,-24.234,131.932,0.879
380,2021-01-04 23:00:00,886.779,59.344,-18.481,-24.46,131.461,1.069
381,2021-01-04 23:15:00,886.802,59.364,-18.624,-24.592,131.146,1.23
